,Spieltag,Datum,Sieger,Team_A,Team_B,Tore_A,Tore_B,Schüsse_A,Schüsse_B,Torschüsse_A,Torschüsse_B,Ballbesitz_A,Ballbesitz_B,Pässe_A,Pässe_B,Passgenauigkeit_A,Passgenauigkeit_B,Fouls_A,Fouls_B,Gelbe_A,Gelbe_B,Rote_A,Rote_B,Abseits_A,Abseits_B,Ecken_A,Ecken_B
104,14,15.12.,B,Heidenheim,VfB Stuttgart,1,3,9,18,2,7,33,67,280,578,68,85,25,13,4,3,0,0,2,0,9,6
105,14,15.12.,U,Dortmund,Hoffenheim,1,1,6,12,2,1,54,46,445,368,84,78,9,10,5,2,0,0,1,4,3,9
106,14,15.12.,A,RB Leipzig,Eintracht Frankfurt,2,1,19,16,9,3,43,57,407,523,85,86,15,10,1,3,0,0,5,3,6,7
107,15,Fr. 20.12.,A,Bayern,RB Leipzig,5,1,22,4,9,1,71,29,712,295,90,78,9,10,5,2,0,0,2,1,8,1
108,15,Sa. 21.12.,B,VfB Stuttgart,St. Pauli,0,1,25,11,5,5,73,27,678,261,88,71,10,11,2,2,0,0,1,5,9,1
109,15,Sa. 21.12.,B,Eintracht Frankfurt,Mainz,1,3,34,9,9,3,71,29,550,245,85,64,10,10,1,1,0,1,1,5,17,2
110,15,Sa. 21.12.,A,Holstein,Augsburg,5,1,8,17,6,4,37,63,295,476,72,84,11,13,0,4,0,0,2,1,3,8
111,15,Sa. 21.12.,A,Werder Bremen,Union Berlin,4,1,10,16,5,4,54,46,530,449,83,78,9,12,2,2,0,0,1,2,4,9
112,15,Sa. 21.12.,B,Hoffenheim,Mönchengladbach,1,2,18,5,8,3,65,35,651,373,88,79,14,6,0,0,0,0,1,2,8,4
113,15,Sa. 21.12.,A,Leverkusen,Freiburg,5,1,20,8,12,2,67,33,680,335,88,74,8,9,1,2,0,0,0,1,4,2
114,15,So. 22.12.,A,Bochum,Heidenheim,2,0,14,10,4,2,52,48,412,399,73,71,18,15,2,7,0,0,2,0,5,2
115,15,So. 22.12.,B,Wolfsburg,Dortmund,1,3,14,12,5,4,49,51,449,471,80,86,8,8,3,2,0,1,0,1,10,4
