,Date,Team_Home,Team_Away,Goals_Home,Goals_Away,Odds_Home_Average,Odds_Draw_Average,Odds_Away_Average,Odds_Home_Bet365,Odds_Draw_Bet365,Odds_Away_Bet365,Odds_Home_bet-at-home,Odds_Draw_bet-at-home,Odds_Away_bet-at-home,Odds_Home_Betano,Odds_Draw_Betano,Odds_Away_Betano,Odds_Home_Bwin,Odds_Draw_Bwin,Odds_Away_Bwin,Upcoming
22.9.2024_Bayer Leverkusen_Wolfsburg_4_3,22.9.2024,Bayer Leverkusen,Wolfsburg,4,3,1.28,5.96,9.91,,,,1.25,6.25,10.0,1.29,5.8,10.0,1.28,6.0,9.75,False
21.9.2024_Eintracht Frankfurt_B. Monchengladbach_2_0,21.9.2024,Eintracht Frankfurt,B. Monchengladbach,2,0,1.74,4.17,4.12,,,,1.75,4.3,4.0,1.75,4.2,4.15,1.75,4.1,4.1,False
21.9.2024_Bochum_Holstein Kiel_2_2,21.9.2024,Bochum,Holstein Kiel,2,2,1.8,3.93,4.11,,,,1.83,3.95,4.1,1.8,3.85,4.2,1.83,3.8,4.0,False
21.9.2024_Heidenheim_Freiburg_0_3,21.9.2024,Heidenheim,Freiburg,0,3,3.24,3.41,2.21,,,,3.25,3.45,2.2,3.3,3.4,2.22,3.2,3.4,2.2,False
21.9.2024_Union Berlin_Hoffenheim_2_1,21.9.2024,Union Berlin,Hoffenheim,2,1,1.83,3.8,4.11,,,,1.8,3.85,4.2,1.8,3.75,4.4,1.87,3.75,3.9,False
21.9.2024_Werder Bremen_Bayern Munich_0_5,21.9.2024,Werder Bremen,Bayern Munich,0,5,8.71,5.8,1.31,,,,9.0,5.75,1.3,8.5,5.6,1.33,8.25,6.0,1.31,False
20.9.2024_Augsburg_Mainz_2_3,20.9.2024,Augsburg,Mainz,2,3,2.35,3.43,2.96,,,,2.4,3.45,2.9,2.32,3.4,3.05,2.35,3.4,2.9,False
15.9.2024_Mainz_Werder Bremen_1_2,15.9.2024,Mainz,Werder Bremen,1,2,2.19,3.5,3.25,,,,2.25,3.5,3.25,2.18,3.5,3.25,2.2,3.5,3.2,False
15.9.2024_Augsburg_St. Pauli_3_1,15.9.2024,Augsburg,St. Pauli,3,1,2.09,3.24,3.8,,,,2.15,3.25,3.85,2.1,3.25,3.8,2.05,3.25,3.75,False
14.9.2024_Holstein Kiel_Bayern Munich_1_6,14.9.2024,Holstein Kiel,Bayern Munich,1,6,12.75,7.24,1.2,,,,13.0,7.75,1.18,14.0,6.7,1.21,11.5,7.5,1.21,False
